rank,title,releasedOn,studio,genre,rating,revenue,tickets
1,Marvel's The Avengers,5/4/12,Walt Disney,Adventure,PG-13,623279547,78301450
2,The Dark Knight Rises,7/20/12,Warner Bros.,Action,PG-13,448139099,56298881
3,The Hunger Games,3/23/12,Lionsgate,Thriller/Suspense,PG-13,408010692,51257624
4,Skyfall,11/8/12,Sony Pictures,Action,PG-13,293729570,36900699
5,"The Twilight Saga: Breaking Dawn, Part 2",11/16/12,Lionsgate,Drama,PG-13,287756286,36150287
6,The Amazing Spider-Man,7/3/12,Sony Pictures,Adventure,PG-13,262030663,32918425
7,The Hobbit: An Unexpected Journey,12/14/12,Warner Bros.,Adventure,PG-13,246289507,30940892
8,Brave,6/22/12,Walt Disney,Adventure,PG,237236938,29803635
9,Ted,6/29/12,Universal,Comedy,R,218665740,27470570
10,Madagascar 3: Europe's Most Wanted,6/8/12,Paramount Pictures,Adventure,PG,216391482,27184859
11,Dr. Seuss' The Lorax,3/2/12,Universal,Adventure,PG,214030500,26888253
12,Men in Black 3,5/25/12,Sony Pictures,Adventure,PG-13,179020854,22490057
13,Wreck-It Ralph,11/2/12,Walt Disney,Adventure,PG,177319916,22276371
14,Ice Age: Continental Drift,7/13/12,20th Century Fox,Adventure,PG,161168962,20247357
15,Snow White and the Huntsman,6/1/12,Universal,Adventure,PG-13,155136755,19489542
16,Hotel Transylvania,9/28/12,Sony Pictures,Comedy,PG,145706677,18304858
17,Taken 2,10/5/12,20th Century Fox,Thriller/Suspense,PG-13,139076968,17471980
18,Lincoln,11/16/12,Walt Disney,Drama,PG-13,138675219,17421509
19,21 Jump Street,3/16/12,Sony Pictures,Comedy,R,138447667,17392922
20,Prometheus,6/8/12,20th Century Fox,Adventure,R,126477084,15889080
21,Safe House,2/10/12,Universal,Thriller/Suspense,R,126181630,15851963
22,The Vow,2/10/12,Sony Pictures,Drama,PG-13,125014030,15705280
23,Magic Mike,6/29/12,Warner Bros.,Comedy,R,113721571,14286629
24,The Bourne Legacy,8/10/12,Universal,Thriller/Suspense,PG-13,113203870,14221591
25,Argo,10/12/12,Warner Bros.,Thriller/Suspense,R,109317698,13733379
26,Journey 2: The Mysterious Island,2/10/12,Warner Bros.,Adventure,PG,103860290,13047775
27,Rise of the Guardians,11/21/12,Paramount Pictures,Adventure,PG,94552084,11878402
28,Flight,11/2/12,Paramount Pictures,Drama,R,92234057,11587193
29,Think Like a Man,4/20/12,Sony Pictures,Romantic Comedy,PG-13,91547205,11500905
30,Life of Pi,11/21/12,20th Century Fox,Drama,PG,88226096,11083680
31,Les Miserables,12/25/12,Universal,Musical,PG-13,87487480,10990889
